Status,Type,Application Number,License Number,Entity Name,Street,City,State,Zip Code,Latitude,Longitude,Georeference
Pending,Adult-Use Retail,OCMRETL-2023-001957,,Erik C Pye,377 Metropolitan Ave,Brooklyn,NY,11211,40.7141421,-73.95570053,POINT (-73.95570053 40.7141421)
Active,CAURD Retail,OCMCAURDP-2023-000091,OCM-CAURD-24-000171,McPhee's Smoke Shop & More LLC,345 Main Street,Hudson Falls,NY,12839,43.31392198,-73.577342,POINT (-73.577342 43.31392198)
Pending,CAURD Retail,OCMCAURDP-2024-000044,,Common Courtesy Dispensary LLC,13809 Jamaica Ave,Jamaica,NY,11435,40.70255409,-73.81504156,POINT (-73.81504156 40.70255409)
Pending,Adult-Use Retail,OCMRETL-2023-002181,,"The Bethel Performing Arts Center, LLC",200 Hurd Road,Bethel,NY,12720,41.7030165,-74.8820013,POINT (-74.8820013 41.7030165)
Pending,Adult-Use Retail,OCMRETL-2023-001724,,J&J Merch Inc.,516 Timpson Pl,Bronx,NY,10455,40.81087617,-73.90431644,POINT (-73.90431644 40.81087617)
Active,Adult-Use Retail,OCMRETL-2023-000437,OCM-RETL-24-000146,"Vaporize, Inc.",12420 Liberty Ave,South Richmond Hill,NY,11419,40.6878165,-73.81991974,POINT (-73.81991974 40.6878165)
Active,CAURD Retail,OCMCAURDP-2024-000016,OCM-CAURD-24-000205,Hassan Holder,701 8th Ave,New York,NY,10036,40.75861239,-73.98887159,POINT (-73.98887159 40.75861239)
Active,Adult-Use Retail,OCMRETL-2023-000276,OCM-RETL-24-000174,"Classy Canna, LLC",8 N Main St,Homer,NY,13077,42.63766918,-76.17851142,POINT (-76.17851142 42.63766918)
Active,CAURD Retail,OCMCAURDP-2023-000127,OCM-CAURD-24-000195,"Unbothered Bud, LLC",1546 US-9,Wappingers Falls,NY,12590,41.59450039,-73.90977801,POINT (-73.90977801 41.59450039)
Active,Adult-Use Retail,OCMRETL-2023-001433,OCM-RETL-24-000123,10415 Jamaica LLC,10415 Jamaica Ave,Jamaica,NY,11418,40.69525537,-73.84275854,POINT (-73.84275854 40.69525537)
Active,Adult-Use Microbusiness,OCMMICR-2023-000525,OCM-MICR-24-000061,QUIA AMO LLC,99 Vandam Street #5E,New York,NY,10013,40.72669008,-74.0077496,POINT (-74.0077496 40.72669008)
Active,Adult-Use Retail,OCMRETL-2023-001645,OCM-RETL-24-000043,Kingston NY Cannabis LLC,1221 Ulster Ave,Kingston,NY,12401,41.96646095,-73.98927323,POINT (-73.98927323 41.96646095)
Active,CAURD Retail,OCMCAURDP-2023-000069,OCM-CAURD-24-000132,NC Accident Reports LLC,481 Broadway,New York,NY,10013,40.72155868,-74.00013904,POINT (-74.00013904 40.72155868)
Active,Adult-Use Retail,OCMRETL-2023-000397,OCM-RETL-24-000097,"Atmospheric Hues, LLC",136 Lake St Ste 2,Newburgh,NY,12550,41.49458332,-74.03097071,POINT (-74.03097071 41.49458332)
Pending,Adult-Use Microbusiness,OCMMICR-2024-000006,,Hiddenview Family Farm LLC,233 Mansion St,Coxsackie,NY,12051,42.36086741,-73.81807926,POINT (-73.81807926 42.36086741)
Active,CAURD Retail,OCMCAURDP-2023-000016,OCM-CAURD-23-000014,Exscape Inc,"1308 Vestal Pky E, 1st Floor, Set D",Vestal,NY,13850,42.09161693,-76.03092973,POINT (-76.03092973 42.09161693)
Active,CAURD Retail,OCMCAURDP-2023-000005,OCM-CAURD-23-000009,Gotham CAURD LLC,3 E 3rd St,New York,NY,10003,40.72637204,-73.99160092,POINT (-73.99160092 40.72637204)
Pending,Adult-Use Retail,OCMRETL-2023-001611,,Wappingers Cannabis LLC,1444 Route 9D,New Hamburg,NY,12590,41.52554178,-73.96760414,POINT (-73.96760414 41.52554178)
Pending,Adult-Use Microbusiness,OCMMICR-C-2024-000157,,Buzzsaw Cannabis Company LLC,5044 NY-17M,New Hampton,NY,10958,41.41008121,-74.41621242,POINT (-74.41621242 41.41008121)
Pending,Adult-Use Retail,OCMRETL-2023-001785,,JDR CANN LLC,67 Milbar Blvd,Farmingdale,NY,11735,40.7501649,-73.41937887,POINT (-73.41937887 40.7501649)
Active,CAURD Retail,OCMCAURDP-2023-000134,OCM-CAURD-24-000143,"Legendary Bliss, LLC",9 Connor Ln,Deer Park,NY,11729,40.74514239,-73.30817935,POINT (-73.30817935 40.74514239)
Active,Adult-Use Retail,OCMRETL-2023-001934,OCM-RETL-24-000095,Potluck Project LLC,1114 Main Ave,Astoria,NY,11102,40.77199784,-73.93197226,POINT (-73.93197226 40.77199784)
Active,Adult-Use Retail,OCMRETL-2023-001569,OCM-RETL-24-000020,Yonkers Dream LLC,2247 Central Park Ave,Yonkers,NY,10710,40.97443045,-73.8338031,POINT (-73.8338031 40.97443045)
Pending,CAURD Retail,OCMCAURDP-2023-000222,,BIG APPLE EXOTICS LLC,854 7th Ave,New York,NY,10019,40.76391484,-73.98128788,POINT (-73.98128788 40.76391484)
Active,CAURD Retail,OCMCAURDP-2023-000024,OCM-CAURD-24-000089,"No Name Graphics, LLC",137 4th St,Troy,NY,12180,42.72835773,-73.68974091,POINT (-73.68974091 42.72835773)
Pending,Adult-Use Retail,OCMRETL-2023-001159,,"Owl Be Smokin, Inc.",213 W Union St,Newark,NY,14513,43.04652672,-77.09829888,POINT (-77.09829888 43.04652672)
Pending,CAURD Retail,OCMCAURDP-2024-000086,,"Dank Heaven, LLC",1418 Avenue Z,Brooklyn,NY,11235,40.58782747,-73.95503769,POINT (-73.95503769 40.58782747)
Active,Adult-Use Retail,OCMRETL-2023-001869,OCM-RETL-24-000023,WNRA LLC,13115 Merrick Blvd,Jamaica,NY,11434,40.67965855,-73.76127018,POINT (-73.76127018 40.67965855)
Active,Adult-Use Retail,OCMRETL-2023-002055,OCM-RETL-24-000180,DTPFF Enterprises LLC,69 Graham Ave,Brooklyn,NY,11206,40.70397312,-73.94272507,POINT (-73.94272507 40.70397312)
Active,RO Medical,,MM0102D,"PharmaCann of New York, LLC.",25 Northpointe Pkwy,Amherst,NY,14228,43.03529774,-78.80563663,POINT (-78.80563663 43.03529774)
Pending,Adult-Use Retail,OCMRETL-2023-001290,,14707 45th LLC,14707 45th Ave,Flushing,NY,11355,40.75553872,-73.81516354,POINT (-73.81516354 40.75553872)
Pending,Adult-Use Retail,OCMRETL-2023-002124,,Stay Blessed LLC,1284 Central Ave,Albany,NY,12205,42.69947962,-73.8122651,POINT (-73.8122651 42.69947962)
Pending,Adult-Use Retail,OCMRETL-2023-000510,,GRNY Ventures LLC,683 New Loudon Rd,Latham,NY,12110,42.73361643,-73.76224148,POINT (-73.76224148 42.73361643)
Active,CAURD Retail,OCMCAURDP-2023-000102,OCM-CAURD-24-000048,BK Exotic Outlet LLC,1056 Flatbush Avenue,Brooklyn,NY,11226,40.64524522,-73.95810956,POINT (-73.95810956 40.64524522)
Pending,Adult-Use Retail,OCMRETL-2023-000721,,Comfort Care Services inc.,99-00 Metropolitan Avenue,Forest Hills,NY,11375,40.7108479,-73.85366565,POINT (-73.85366565 40.7108479)
Pending,Adult-Use Retail,OCMRETL-2023-002187,,"Forage Dispensaries, LLC",355 Main St,Catskill,NY,12414,42.21825866,-73.86522284,POINT (-73.86522284 42.21825866)
Pending,CAURD Retail,OCMCAURDP-2024-000094,,Strong Island Chronic LLC,19 Technology Dr,East Setauket,NY,11733,40.89848476,-73.08648928,POINT (-73.08648928 40.89848476)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000614,,Green Witch Cannabis LLC,1144 Cold Spring Rd,Forestburgh,NY,12777,41.58551268,-74.67132995,POINT (-74.67132995 41.58551268)
Active,Adult-Use Retail,OCMRETL-2023-000198,OCM-RETL-24-000150,"Moore & More, LLC",2166 State Route 17B # 224,Bethel,NY,12720,41.68782612,-74.8871068,POINT (-74.8871068 41.68782612)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000122,,Innocence Cannabis LLC,6730 Lake Rd,Appleton,NY,14008,43.34517994,-78.66057203,POINT (-78.66057203 43.34517994)
Active,CAURD Retail,OCMCAURDP-2023-000126,OCM-CAURD-24-000055,Mach Enterprises of NY LLC,155 Monroe Ave,Rochester,NY,14607,43.1507652,-77.60116661,POINT (-77.60116661 43.1507652)
Active,RO Medical,,MM1006D,"Curaleaf NY, LLC",532 Chili Ave,Rochester,NY,14611,43.14541454,-77.65088631,POINT (-77.65088631 43.14541454)
Active,CAURD Retail,OCMCAURDP-2023-000076,OCM-CAURD-24-000066,"Nickel City Green, LLC",2981 Delaware Avenue,Kenmore,NY,14217,42.96536943,-78.87027341,POINT (-78.87027341 42.96536943)
Pending,CAURD Retail,OCMCAURDP-2024-000001,,Capri Holdings 2 LLC,887 Yonkers Ave,Yonkers,NY,10704,40.91932193,-73.86058728,POINT (-73.86058728 40.91932193)
Pending,CAURD Retail,OCMCAURDP-2023-000210,,Lotus Dispensary LLC,185-24 Horace Harding Expressway,Fresh Meadows,NY,11365,40.73988816,-73.78898687,POINT (-73.78898687 40.73988816)
Pending,Adult-Use Retail,OCMRETL-2023-000931,,Southampton Deep Blue Sea LLC,125 Tuckahoe Ln,Southampton,NY,11968,40.89330418,-72.4241809,POINT (-72.4241809 40.89330418)
Active,Adult-Use Retail,OCMRETL-2023-001377,OCM-RETL-24-000021,2147 44th LLC,2147 44th Dr,Long Island City,NY,11101,40.7480493,-73.94676353,POINT (-73.94676353 40.7480493)
Pending,Adult-Use Microbusiness,OCMMICR-C-2024-000009,,FUFA LLC,8723 Noble St,Evans Mills,NY,13637,44.08803528,-75.80741102,POINT (-75.80741102 44.08803528)
Pending,Adult-Use Retail,OCMRETL-2023-001428,,Friends Vintage LLC,56 Bogart St,Brooklyn,NY,11206,40.70573623,-73.93334192,POINT (-73.93334192 40.70573623)
Pending,Adult-Use Retail,OCMRETL-2023-001768,,AB&MP Inc.,3547 Broadway,New York,NY,10031,40.82666524,-73.95036756,POINT (-73.95036756 40.82666524)
Active,CAURD Retail,OCMCAURDP-2024-000010,OCM-CAURD-24-000134,Joseph B Simons,4658 Onondaga Blvd,Syracuse,NY,13219,43.03208823,-76.1940868,POINT (-76.1940868 43.03208823)
Active,Adult-Use Retail,OCMRETL-2023-000909,OCM-RETL-24-000010,Khaar Wellness LLC,3341 Sheridan Dr,Amherst,NY,14226,42.97992808,-78.80987151,POINT (-78.80987151 42.97992808)
Active,Adult-Use Retail,OCMRETL-2023-000993,OCM-RETL-24-000069,Briar Hill Holdings LLC,1385 Abbott Rd,Lackawanna,NY,14218,42.82705864,-78.80410433,POINT (-78.80410433 42.82705864)
Pending,RO Medical,,,Hudson Health Extracts,98-48 Queens Blvd,Flushing,NY,11374,40.72772157,-73.85655443,POINT (-73.85655443 40.72772157)
Active,Adult-Use Retail,OCMRETL-2023-001575,OCM-RETL-24-000151,"Rockaway Moonshot, LLC",9519 Rockaway Beach Blvd,Rockaway Beach,NY,11693,40.58555088,-73.81737917,POINT (-73.81737917 40.58555088)
Pending,CAURD Retail,OCMCAURDP-2023-000113,,Of The Earth Canna LLC,1390 Saint Nicholas Ave,New York,NY,10033,40.84831168,-73.93437761,POINT (-73.93437761 40.84831168)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000241,,"HempLocks, LLC",4638 Main St,Hemlock,NY,14466,42.7953897,-77.6076377,POINT (-77.6076377 42.7953897)
Active,Adult-Use Retail,OCMRETL-2023-000636,OCM-RETL-24-000066,"Sage Holdco, Inc.",268 Forest Hill Dr,Kingston,NY,12401,41.95057866,-74.04239111,POINT (-74.04239111 41.95057866)
Pending,Adult-Use Retail,OCMRETL-2023-002206,,NY Flower Depot LLC,1495 Mount Hope Ave,Rochester,NY,14620,43.12054588,-77.61955312,POINT (-77.61955312 43.12054588)
Pending,RO Medical & Adult-Use,,,"PharmaCann of New York, LLC.",5841 Bridge Street,East Syracuse,NY,13057,43.05510834,-76.06696005,POINT (-76.06696005 43.05510834)
Pending,Adult-Use Retail,OCMRETL-2023-000500,,"The Highline Cannabis, LLC",45 Main St,Hastings On Hudson,NY,10706,40.99423471,-73.88081044,POINT (-73.88081044 40.99423471)
Active,Adult-Use Retail,OCMRETL-2023-001418,OCM-RETL-24-000164,Upscale Cannabis Incorporated,3042b Fenton Ave,Bronx,NY,10469,40.86965116,-73.84440732,POINT (-73.84440732 40.86965116)
Active,RO Medical,,MM0405D,"Etain, LLC.",2140 Erie Boulevard,East Syracuse,NY,13224,43.05239805,-76.1109928,POINT (-76.1109928 43.05239805)
Active,Adult-Use Retail,OCMRETL-2023-001006,OCM-RETL-24-000075,Juicy Wellness Inc.,66-33 Fresh Pond Rd,Ridgewood,NY,11385,40.70801598,-73.89765447,POINT (-73.89765447 40.70801598)
Active,Adult-Use Retail,OCMRETL-2023-001544,OCM-RETL-24-000179,Bud Brothers and Sisters LLC,1607 Columbia Tpke,Castleton On Hudson,NY,12033,42.56996892,-73.68553432,POINT (-73.68553432 42.56996892)
Pending,CAURD Retail,OCMCAURDP-2024-000004,,Top Shelf Aficionados,33 Old Dock Road,Bellport,NY,11713,40.82026519,-72.94387685,POINT (-72.94387685 40.82026519)
Active,CAURD Retail,OCMCAURDP-2023-000093,OCM-CAURD-24-000061,New Metro Enterprise Inc,221-50 Horace Harding Expressway,Bayside,NY,11364,40.74947136,-73.75487575,POINT (-73.75487575 40.74947136)
Pending,Adult-Use Retail,OCMRETL-2023-001686,,Serenitas Care LLC,366 Nine Partners Rd,Clinton Corners,NY,12514,41.88716977,-73.77245837,POINT (-73.77245837 41.88716977)
Active,Adult-Use Retail,OCMRETL-2023-000485,OCM-RETL-24-000083,Caffiend LLC,892 Wyckoff Ave,Brooklyn,NY,11237,40.69705361,-73.90678172,POINT (-73.90678172 40.69705361)
Active,Adult-Use Retail,OCMRETL-2023-001542,OCM-RETL-24-000122,Gone Tiki LLC,1829 Como Park Blvd,Lancaster,NY,14086,42.89277127,-78.68393831,POINT (-78.68393831 42.89277127)
Pending,Adult-Use Retail,OCMRETL-2023-000455,,The Coughie Shop Limited Liability Company,12266 Oswego St,Wolcott,NY,14590,43.22252345,-76.80500555,POINT (-76.80500555 43.22252345)
Pending,Adult-Use Retail,OCMRETL-2023-000668,,Cannabis Dispensary LLC,7560 Niagara Falls Blvd,Niagara Falls,NY,14304,43.0926,-78.9765,POINT (-78.9765 43.0926)
Active,CAURD Retail,OCMCAURDP-2023-000108,OCM-CAURD-24-000145,Xander Legacy LLC,946 Fulton Street,Brooklyn,NY,11238,40.68263364,-73.96312265,POINT (-73.96312265 40.68263364)
Active,CAURD Retail,OCMCAURDP-2023-000119,OCM-CAURD-24-000148,82-J LLC,1673 Hertel Ave,Buffalo,NY,14214,42.94754829,-78.84605882,POINT (-78.84605882 42.94754829)
Active,CAURD Retail,OCMCAURDP-2023-000105,OCM-CAURD-24-000081,Raven Dispensaries LLC,4106 State Route 31 Ste 903,Clay,NY,13041,43.18556121,-76.22997844,POINT (-76.22997844 43.18556121)
Active,CAURD Retail,OCMCAURDP-2023-000072,OCM-CAURD-24-000162,NYCECITY LLC,2441 Flatbush Ave,Brooklyn,NY,11234,40.61071829,-73.92341478,POINT (-73.92341478 40.61071829)
Active,Adult-Use Retail,OCMRETL-2023-002123,OCM-RETL-24-000182,SLIM 710 LLC,530 Fulton St,Brooklyn,NY,11201,40.68906196,-73.98151756,POINT (-73.98151756 40.68906196)
Pending,Adult-Use Retail,OCMRETL-2023-001656,,Green Comfort Inc.,999 S Clinton Ave,Rochester,NY,14620,43.13874917,-77.59534404,POINT (-77.59534404 43.13874917)
Pending,Adult-Use Retail,OCMRETL-2023-001369,,"4081House, LLC",158-160 Remsen St,Cohoes,NY,12047,42.77236147,-73.70095677,POINT (-73.70095677 42.77236147)
Pending,Adult-Use Retail,OCMRETL-2023-001455,,"Vivid Wellness, LLC",242 Main St,Binghamton,NY,13905,42.10692452,-75.93620706,POINT (-75.93620706 42.10692452)
Active,Adult-Use Microbusiness,OCMMICR-2023-000213,OCM-MICR-24-000143,Taliaferro Farm Store LLC,7536 N Broadway,Red Hook,NY,12571,41.99631137,-73.874683,POINT (-73.874683 41.99631137)
Pending,CAURD Retail,OCMCAURDP-2023-000150,,Dennis J Fernando JR,46 Ronald Reagan Blvd,Warwick,NY,10990,41.27128609,-74.33254868,POINT (-74.33254868 41.27128609)
Active,CAURD Retail,OCMCAURDP-2023-000018,OCM-CAURD-23-000019,Dosha Farms LLC,76 Main St,Oneonta,NY,13820,42.44872072,-75.06382466,POINT (-75.06382466 42.44872072)
Active,Adult-Use Retail,OCMRETL-2023-001266,OCM-RETL-24-000055,Elevated 718 LLC,302 Kings Hwy,Brooklyn,NY,11223,40.60503455,-73.97937316,POINT (-73.97937316 40.60503455)
Pending,Adult-Use Retail,OCMRETL-2023-000135,,L A FFOCA LLC,1618 18th St,Niagara Falls,NY,14305,43.10370387,-79.03982575,POINT (-79.03982575 43.10370387)
Active,CAURD Retail,OCMCAURDP-2023-000249,OCM-CAURD-24-000131,Green Sun Inc.,3220 Westchester Avenue,Bronx,NY,10461,40.85233122,-73.8282564,POINT (-73.8282564 40.85233122)
Pending,CAURD Retail,OCMCAURDP-2023-000168,,"718 Equity Enterprise, Inc.",348 N Goodman St,Rochester,NY,14607,43.15855729,-77.58536727,POINT (-77.58536727 43.15855729)
Pending,Adult-Use Retail,OCMRETL-2023-000946,,"4081House, LLC",94-58 221st St,Queens Village,NY,11428,40.72010354,-73.73347806,POINT (-73.73347806 40.72010354)
Pending,Adult-Use Retail,OCMRETL-2023-002163,,Mohsin A. Aldalali,4358 White Plains Rd,Bronx,NY,10466,40.89742392,-73.85504863,POINT (-73.85504863 40.89742392)
Active,Adult-Use Retail,OCMRETL-2023-002207,OCM-RETL-24-000181,Cream Luxuries Astoria Inc.,78-14 Roosevelt Avenue,Queens,NY,11372,40.74720996,-73.88744946,POINT (-73.88744946 40.74720996)
Pending,CAURD Retail,OCMCAURDP-2023-000009,,Gabbys Green LLC,32-62 Steinway St,Astoria,NY,11103,40.7575668,-73.92023192,POINT (-73.92023192 40.7575668)
Active,Adult-Use Retail,OCMRETL-2023-001325,OCM-RETL-24-000178,AA 301 W. 45th St Inc.,743 9th Ave,New York,NY,10019,40.76362784,-73.98892997,POINT (-73.98892997 40.76362784)
Active,Adult-Use Retail,OCMRETL-2023-000420,OCM-RETL-24-000172,"One Love Cures, LLC",201 Northline Rd,Ballston Spa,NY,12020,43.02273682,-73.8391151,POINT (-73.8391151 43.02273682)
Pending,Adult-Use Retail,OCMRETL-2023-001565,,"3 Guys Canna, LLC",145 Ganson St,Buffalo,NY,14203,42.86446869,-78.87072972,POINT (-78.87072972 42.86446869)
Pending,Adult-Use Retail,OCMRETL-2023-000218,,Lake Eire Holdings LLC,2327 Sheridan Dr,Tonawanda,NY,14150,42.98078654,-78.84774598,POINT (-78.84774598 42.98078654)
Active,Adult-Use Microbusiness,OCMMICR-2023-000121,OCM-MICR-24-000163,Cannabis Crafters LLC,1521 Pontiac Rd,Angola,NY,14006,42.62936295,-78.98930313,POINT (-78.98930313 42.62936295)
Active,CAURD Retail,OCMCAURDP-2023-000003,OCM-CAURD-23-000004,"On Point Cannabis, Inc.",75 Court St,Binghamton,NY,13901,42.09873605,-75.91190125,POINT (-75.91190125 42.09873605)
Pending,Adult-Use Retail,OCMRETL-2023-002048,,"Red Pinene Holdings, LLC",83 Broadway,Kingston,NY,12401,41.91988624,-73.98531378,POINT (-73.98531378 41.91988624)
Active,Adult-Use Microbusiness,OCMMICR-2023-000616,OCM-MICR-24-000141,Flower City Botanical LLC,394-398 South Avenue,Rochester,NY,14620,43.14796029,-77.60594212,POINT (-77.60594212 43.14796029)
Active,Adult-Use Retail,OCMRETL-2023-002028,OCM-RETL-24-000035,"HVK Management, LLC",13004 Atlantic Ave,South Richmond Hill,NY,11419,40.69579023,-73.81874765,POINT (-73.81874765 40.69579023)
Pending,Adult-Use Retail,OCMRETL-2023-001487,,Best Dispensary Near Me Hamptons LLC,246 E Montauk Hwy,Hampton Bays,NY,11946,40.88373825,-72.50549902,POINT (-72.50549902 40.88373825)
Active,Adult-Use Retail,OCMRETL-2023-000645,OCM-RETL-24-000148,"Liberty NY Cannabis, LLC",187 Mill Street,Liberty,NY,12754,41.793265,-74.73533346,POINT (-74.73533346 41.793265)
Pending,Adult-Use Retail,OCMRETL-2023-001343,,MANHATTAN ECONOMICS LLC,376 McLean Ave,Yonkers,NY,10705,40.91044988,-73.88652551,POINT (-73.88652551 40.91044988)
Active,Adult-Use Microbusiness,OCMMICR-2023-000239,OCM-MICR-24-000125,S-Jam Handicraft Cannabis Co. Limited Liability Company,330 Central Ave,Herkimer,NY,13350,43.02039424,-74.98882619,POINT (-74.98882619 43.02039424)
Active,Adult-Use Retail,OCMRETL-2023-001665,OCM-RETL-24-000155,The Phinest Buds LLC,2415 Hyde Park Blvd,Niagara Falls,NY,14305,43.11038457,-79.03104026,POINT (-79.03104026 43.11038457)
Active,Adult-Use Retail,OCMRETL-2023-002126,OCM-RETL-24-000005,"NY Rochester Group, LLC",3553 W Henrietta Rd,Rochester,NY,14623,43.08287558,-77.63918429,POINT (-77.63918429 43.08287558)
Pending,Adult-Use Retail,OCMRETL-2023-000772,,Pike & Griff LLC,34 Scott St,Jamestown,NY,14701,42.09936108,-79.22926996,POINT (-79.22926996 42.09936108)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000309,,Rosa International Realty LLC,28 Roland Pl,Schenectady,NY,12304,42.79114794,-73.91545858,POINT (-73.91545858 42.79114794)
Pending,CAURD Retail,OCMCAURDP-2023-000250,,BlazinUp LLC,302 8th Ave,New York,NY,10001,40.74665714,-73.99741212,POINT (-73.99741212 40.74665714)
Pending,Adult-Use Retail,OCMRETL-2023-000881,,Everything Exotic Deli Corp,109-30 Merrick Blvd,South Jamaica,NY,11433,40.69675218,-73.78382626,POINT (-73.78382626 40.69675218)
Active,Adult-Use Retail,OCMRETL-2023-001622,OCM-RETL-24-000165,Treehouse Cannabis LLC,1165 Bedford Ave,Brooklyn,NY,11216,40.68364812,-73.95388943,POINT (-73.95388943 40.68364812)
Pending,Adult-Use Retail,OCMRETL-2023-000977,,Farruggio Holdings II LLC,405 Connecticut St,Buffalo,NY,14213,42.90658082,-78.88615754,POINT (-78.88615754 42.90658082)
Pending,Adult-Use Retail,OCMRETL-2023-001394,,Cannalicious LLC,9415 3rd Ave,Brooklyn,NY,11209,40.61779445,-74.03329782,POINT (-74.03329782 40.61779445)
Pending,Adult-Use Retail,OCMRETL-2023-001284,,Upstate Pines Inc.,7345 S Broadway,Red Hook,NY,12571,41.98738008,-73.88119113,POINT (-73.88119113 41.98738008)
Pending,Adult-Use Retail,OCMRETL-2023-002102,,Just Buds LLC,10-14 Doyers Street,New York,NY,10013,40.71417089,-73.99769548,POINT (-73.99769548 40.71417089)
Pending,Adult-Use Retail,OCMRETL-2023-000848,,Happy Cork Bedstuy,225 Malcolm X Blvd,Brooklyn,NY,11221,40.68533954,-73.92945791,POINT (-73.92945791 40.68533954)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000054,,Bud Struck LLC,1992 Route 284,Slate Hill,NY,10973,41.38543843,-74.48016635,POINT (-74.48016635 41.38543843)
Active,Adult-Use Retail,OCMRETL-2023-002153,OCM-RETL-24-000064,Sanat Cards & Gifts Inc,214-24 73rd Ave,Bayside,NY,11364,40.74033058,-73.75965377,POINT (-73.75965377 40.74033058)
Pending,Adult-Use Retail,OCMRETL-2023-001305,,The Gibbons Group LLC,2459 Frederick Douglass Blvd,New York,NY,10027,40.81443593,-73.94813667,POINT (-73.94813667 40.81443593)
Pending,Adult-Use Retail,OCMRETL-2023-002159,,Kornegay & Son LLC,982 Main St Ste 5,Fishkill,NY,12524,41.53113029,-73.90762743,POINT (-73.90762743 41.53113029)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000430,,Michelle D Lego,6798 Pine Ridge Rd,Auburn,NY,13021,42.94571775,-76.51063972,POINT (-76.51063972 42.94571775)
Pending,Adult-Use Retail,OCMRETL-2023-000185,,Smokey Jungle LLC,330 Becker Dr,Schenectady,NY,12306,42.77984921,-74.02840419,POINT (-74.02840419 42.77984921)
Pending,CAURD Retail,OCMCAURDP-2024-000089,,"Cannabis Knock Knock, LLC",1260 Gerling St,Schenectady,NY,12308,42.82432395,-73.91144136,POINT (-73.91144136 42.82432395)
Pending,Adult-Use Retail,OCMRETL-2023-001810,,"3PM Ventures, LLC",2494 Niagara Falls Blvd,Tonawanda,NY,14150,43.02234944,-78.82226904,POINT (-78.82226904 43.02234944)
